,location,bhk,total_sqft,bath,balcony,price,Actual Price
0,1st Block Jayanagar,4,2850.0,4,1,428.0,4280000.0
1,1st Block Jayanagar,3,1630.0,3,2,194.0,1940000.0
2,1st Block Jayanagar,3,1875.0,2,3,235.0,2350000.0
3,1st Block Jayanagar,3,1200.0,2,0,130.0,1300000.0
4,1st Block Jayanagar,2,1235.0,2,2,148.0,1480000.0
5,1st Block Jayanagar,4,2750.0,4,0,413.0,4130000.0
6,1st Block Jayanagar,4,2450.0,4,2,368.0,3680000.0
7,1st Block Koramangala,2,1415.0,2,3,110.0,1100000.0
8,1st Block Koramangala,2,860.0,2,2,65.5,655000.0
9,1st Block Koramangala,4,3000.0,3,3,300.0,3000000.0
10,1st Block Koramangala,3,2350.0,3,2,210.0,2100000.0
11,1st Block Koramangala,4,3000.0,5,3,500.0,5000000.0
13,1st Phase JP Nagar,3,1875.0,3,1,167.0,1670000.0
14,1st Phase JP Nagar,5,1500.0,5,2,85.0,850000.0
15,1st Phase JP Nagar,3,2065.0,4,1,210.0,2100000.0
17,1st Phase JP Nagar,3,2059.0,3,2,225.0,2250000.0
18,1st Phase JP Nagar,2,1394.0,2,1,100.0,1000000.0
19,1st Phase JP Nagar,2,1077.0,2,2,93.0,930000.0
20,1st Phase JP Nagar,1,839.91,1,1,63.0,630000.0
21,1st Phase JP Nagar,2,1566.0,2,0,180.0,1800000.0
22,1st Phase JP Nagar,1,840.0,2,2,50.0,500000.0
23,1st Phase JP Nagar,3,1590.0,3,3,131.0,1310000.0
24,1st Phase JP Nagar,3,2180.0,3,2,210.0,2100000.0
25,1st Phase JP Nagar,2,1180.0,2,2,88.5,885000.0
26,1st Phase JP Nagar,2,1200.0,2,2,86.0,860000.0
27,1st Phase JP Nagar,2,1394.0,2,2,85.0,850000.0
28,1st Phase JP Nagar,3,2077.0,3,3,175.0,1750000.0
30,1st Phase JP Nagar,2,1205.0,2,1,85.0,850000.0
32,1st Phase JP Nagar,2,900.0,2,1,75.0,750000.0
33,2nd Phase Judicial Layout,3,1450.0,2,1,50.75,507500.0
34,2nd Phase Judicial Layout,2,1150.0,2,1,40.25,402500.0
35,2nd Phase Judicial Layout,3,1350.0,2,2,47.25,472500.0
36,2nd Phase Judicial Layout,3,1350.0,2,2,47.25,472500.0
37,2nd Phase Judicial Layout,2,900.0,2,2,41.0,410000.0
38,2nd Phase Judicial Layout,3,1681.0,3,3,69.0,690000.0
39,2nd Phase Judicial Layout,3,1350.0,2,2,47.25,472500.0
40,2nd Phase Judicial Layout,2,1150.0,2,1,40.25,402500.0
41,2nd Stage Nagarbhavi,4,1500.0,4,2,220.0,2200000.0
44,2nd Stage Nagarbhavi,4,1350.0,4,1,200.0,2000000.0
45,2nd Stage Nagarbhavi,4,1200.0,4,1,225.0,2250000.0
46,2nd Stage Nagarbhavi,4,1500.0,3,2,230.0,2300000.0
47,5th Block Hbr Layout,2,1206.0,2,2,56.0,560000.0
48,5th Block Hbr Layout,3,1270.0,2,2,70.0,700000.0
49,5th Block Hbr Layout,2,1312.0,2,3,69.0,690000.0
50,5th Block Hbr Layout,2,1100.0,2,2,48.0,480000.0
51,5th Block Hbr Layout,5,3600.0,5,3,130.0,1300000.0
52,5th Block Hbr Layout,6,5100.0,5,3,300.0,3000000.0
53,5th Phase JP Nagar,2,1075.0,2,2,60.0,600000.0
54,5th Phase JP Nagar,2,1150.0,3,3,52.5,525000.0
55,5th Phase JP Nagar,2,1256.0,2,1,62.8,628000.0
56,5th Phase JP Nagar,2,1207.0,2,2,63.0,630000.0
57,5th Phase JP Nagar,3,1725.0,2,2,100.0,1000000.0
58,5th Phase JP Nagar,2,1440.0,2,2,60.0,600000.0
59,5th Phase JP Nagar,3,1700.0,2,3,100.0,1000000.0
61,5th Phase JP Nagar,5,2500.0,5,2,110.0,1100000.0
62,5th Phase JP Nagar,1,600.0,1,1,30.0,300000.0
63,5th Phase JP Nagar,2,1390.0,2,2,65.0,650000.0
64,5th Phase JP Nagar,2,1256.0,2,1,62.8,628000.0
65,5th Phase JP Nagar,2,1000.0,2,0,48.0,480000.0
66,5th Phase JP Nagar,3,1350.0,2,1,75.0,750000.0
67,5th Phase JP Nagar,1,552.0,1,1,23.5,235000.0
68,5th Phase JP Nagar,2,1200.0,2,2,51.0,510000.0
72,5th Phase JP Nagar,2,1030.0,2,2,57.0,570000.0
73,5th Phase JP Nagar,2,1200.0,2,1,68.0,680000.0
74,5th Phase JP Nagar,2,1190.0,2,2,61.8,618000.0
75,5th Phase JP Nagar,5,4000.0,5,2,170.0,1700000.0
76,5th Phase JP Nagar,2,1080.0,2,1,53.0,530000.0
77,5th Phase JP Nagar,2,1041.0,2,2,54.0,540000.0
78,5th Phase JP Nagar,2,812.0,2,1,42.0,420000.0
79,5th Phase JP Nagar,2,1010.0,2,2,57.0,570000.0
81,5th Phase JP Nagar,2,1075.0,2,2,60.0,600000.0
82,6th Phase JP Nagar,2,1192.0,2,2,74.0,740000.0
83,6th Phase JP Nagar,2,1180.0,2,3,80.0,800000.0
84,6th Phase JP Nagar,4,3245.0,4,2,250.0,2500000.0
85,6th Phase JP Nagar,3,1645.0,3,3,100.0,1000000.0
86,6th Phase JP Nagar,2,1140.0,2,2,65.0,650000.0
87,6th Phase JP Nagar,3,2040.0,3,2,200.0,2000000.0
88,6th Phase JP Nagar,2,1213.0,2,1,63.0,630000.0
89,6th Phase JP Nagar,2,1216.0,2,2,60.0,600000.0
90,6th Phase JP Nagar,2,1460.0,2,2,80.0,800000.0
91,6th Phase JP Nagar,3,2003.0,3,3,200.0,2000000.0
92,6th Phase JP Nagar,3,1810.0,3,3,131.0,1310000.0
93,6th Phase JP Nagar,3,1515.0,2,2,135.0,1350000.0
94,6th Phase JP Nagar,2,1192.0,2,3,75.0,750000.0
95,6th Phase JP Nagar,2,1280.0,2,1,88.0,880000.0
96,7th Phase JP Nagar,2,1080.0,2,2,72.0,720000.0
97,7th Phase JP Nagar,2,1270.0,2,2,93.0,930000.0
98,7th Phase JP Nagar,3,1420.0,2,1,100.0,1000000.0
99,7th Phase JP Nagar,3,1850.0,3,1,150.0,1500000.0
100,7th Phase JP Nagar,2,1245.0,2,1,94.0,940000.0
101,7th Phase JP Nagar,2,1175.0,2,1,82.0,820000.0
102,7th Phase JP Nagar,3,1400.0,2,1,95.0,950000.0
103,7th Phase JP Nagar,3,2225.0,3,1,160.0,1600000.0
104,7th Phase JP Nagar,2,1050.0,2,1,71.0,710000.0
105,7th Phase JP Nagar,2,1100.0,2,0,46.0,460000.0
106,7th Phase JP Nagar,2,918.0,2,1,50.49,504900.0
107,7th Phase JP Nagar,3,1450.0,2,1,100.0,1000000.0
108,7th Phase JP Nagar,2,1190.0,2,1,49.98,499799.99999999994
109,7th Phase JP Nagar,3,1420.0,2,2,96.0,960000.0
110,7th Phase JP Nagar,3,1680.0,3,2,120.0,1200000.0
111,7th Phase JP Nagar,2,980.0,2,2,69.0,690000.0
112,7th Phase JP Nagar,2,1180.0,2,2,72.0,720000.0
116,7th Phase JP Nagar,3,1400.0,3,1,115.0,1150000.0
117,7th Phase JP Nagar,2,1270.0,2,1,83.0,830000.0
119,7th Phase JP Nagar,4,2503.0,4,0,188.0,1880000.0
120,7th Phase JP Nagar,3,2200.0,3,2,190.0,1900000.0
123,7th Phase JP Nagar,3,1575.0,2,2,110.0,1100000.0
124,7th Phase JP Nagar,3,1850.0,3,2,140.0,1400000.0
125,7th Phase JP Nagar,3,1575.0,2,2,120.0,1200000.0
126,7th Phase JP Nagar,3,1850.0,3,2,150.0,1500000.0
127,7th Phase JP Nagar,3,1680.0,3,2,120.0,1200000.0
