,location,bhk,total_sqft,bath,balcony,price
0,1st Block Jayanagar,4,2850.0,4,1,428.0
1,1st Block Jayanagar,3,1630.0,3,2,194.0
2,1st Block Jayanagar,3,1875.0,2,3,235.0
3,1st Block Jayanagar,3,1200.0,2,0,130.0
4,1st Block Jayanagar,2,1235.0,2,2,148.0
5,1st Block Jayanagar,4,2750.0,4,0,413.0
6,1st Block Jayanagar,4,2450.0,4,2,368.0
7,1st Block Koramangala,2,1415.0,2,3,110.0
8,1st Block Koramangala,2,860.0,2,2,65.5
9,1st Block Koramangala,4,3000.0,3,3,300.0
10,1st Block Koramangala,3,2350.0,3,2,210.0
11,1st Block Koramangala,4,3000.0,5,3,500.0
13,1st Phase JP Nagar,3,1875.0,3,1,167.0
14,1st Phase JP Nagar,5,1500.0,5,2,85.0
15,1st Phase JP Nagar,3,2065.0,4,1,210.0
17,1st Phase JP Nagar,3,2059.0,3,2,225.0
18,1st Phase JP Nagar,2,1394.0,2,1,100.0
19,1st Phase JP Nagar,2,1077.0,2,2,93.0
20,1st Phase JP Nagar,1,839.91,1,1,63.0
21,1st Phase JP Nagar,2,1566.0,2,0,180.0
22,1st Phase JP Nagar,1,840.0,2,2,50.0
23,1st Phase JP Nagar,3,1590.0,3,3,131.0
24,1st Phase JP Nagar,3,2180.0,3,2,210.0
25,1st Phase JP Nagar,2,1180.0,2,2,88.5
26,1st Phase JP Nagar,2,1200.0,2,2,86.0
27,1st Phase JP Nagar,2,1394.0,2,2,85.0
28,1st Phase JP Nagar,3,2077.0,3,3,175.0
30,1st Phase JP Nagar,2,1205.0,2,1,85.0
32,1st Phase JP Nagar,2,900.0,2,1,75.0
33,2nd Phase Judicial Layout,3,1450.0,2,1,50.75
34,2nd Phase Judicial Layout,2,1150.0,2,1,40.25
35,2nd Phase Judicial Layout,3,1350.0,2,2,47.25
36,2nd Phase Judicial Layout,3,1350.0,2,2,47.25
37,2nd Phase Judicial Layout,2,900.0,2,2,41.0
38,2nd Phase Judicial Layout,3,1681.0,3,3,69.0
39,2nd Phase Judicial Layout,3,1350.0,2,2,47.25
40,2nd Phase Judicial Layout,2,1150.0,2,1,40.25
41,2nd Stage Nagarbhavi,4,1500.0,4,2,220.0
44,2nd Stage Nagarbhavi,4,1350.0,4,1,200.0
45,2nd Stage Nagarbhavi,4,1200.0,4,1,225.0
46,2nd Stage Nagarbhavi,4,1500.0,3,2,230.0
47,5th Block Hbr Layout,2,1206.0,2,2,56.0
48,5th Block Hbr Layout,3,1270.0,2,2,70.0
49,5th Block Hbr Layout,2,1312.0,2,3,69.0
50,5th Block Hbr Layout,2,1100.0,2,2,48.0
51,5th Block Hbr Layout,5,3600.0,5,3,130.0
52,5th Block Hbr Layout,6,5100.0,5,3,300.0
53,5th Phase JP Nagar,2,1075.0,2,2,60.0
54,5th Phase JP Nagar,2,1150.0,3,3,52.5
55,5th Phase JP Nagar,2,1256.0,2,1,62.8
56,5th Phase JP Nagar,2,1207.0,2,2,63.0
57,5th Phase JP Nagar,3,1725.0,2,2,100.0
58,5th Phase JP Nagar,2,1440.0,2,2,60.0
59,5th Phase JP Nagar,3,1700.0,2,3,100.0
61,5th Phase JP Nagar,5,2500.0,5,2,110.0
62,5th Phase JP Nagar,1,600.0,1,1,30.0
63,5th Phase JP Nagar,2,1390.0,2,2,65.0
64,5th Phase JP Nagar,2,1256.0,2,1,62.8
65,5th Phase JP Nagar,2,1000.0,2,0,48.0
66,5th Phase JP Nagar,3,1350.0,2,1,75.0
67,5th Phase JP Nagar,1,552.0,1,1,23.5
68,5th Phase JP Nagar,2,1200.0,2,2,51.0
72,5th Phase JP Nagar,2,1030.0,2,2,57.0
73,5th Phase JP Nagar,2,1200.0,2,1,68.0
74,5th Phase JP Nagar,2,1190.0,2,2,61.8
75,5th Phase JP Nagar,5,4000.0,5,2,170.0
76,5th Phase JP Nagar,2,1080.0,2,1,53.0
77,5th Phase JP Nagar,2,1041.0,2,2,54.0
